Scenario,Model,Layer,Classifier,UAR
Spanish → Spanish,Wav2Vec2,0,linear_svm,0.76
Spanish → Spanish,Wav2Vec2,0,logistic_regression,0.75
Spanish → German,Wav2Vec2,0,linear_svm,0.6477272727272727
Spanish → German,Wav2Vec2,0,logistic_regression,0.6022727272727273
German → German,Wav2Vec2,0,linear_svm,0.7329545454545454
German → German,Wav2Vec2,0,logistic_regression,0.7215909090909092
German → Spanish,Wav2Vec2,0,linear_svm,0.56
German → Spanish,Wav2Vec2,0,logistic_regression,0.56
German → Spanish,Wav2Vec2,0,linear_svm,0.7644927536231885
German → Spanish,Wav2Vec2,0,logistic_regression,0.7427536231884058
Spanish → Spanish,Wav2Vec2,11,linear_svm,0.73
Spanish → Spanish,Wav2Vec2,11,logistic_regression,0.75
Spanish → German,Wav2Vec2,11,linear_svm,0.6022727272727273
Spanish → German,Wav2Vec2,11,logistic_regression,0.5625
German → German,Wav2Vec2,11,linear_svm,0.75
German → German,Wav2Vec2,11,logistic_regression,0.75
German → Spanish,Wav2Vec2,11,linear_svm,0.51
German → Spanish,Wav2Vec2,11,logistic_regression,0.62
German → Spanish,Wav2Vec2,11,linear_svm,0.7572463768115942
German → Spanish,Wav2Vec2,11,logistic_regression,0.75
Spanish → Spanish,Wav2Vec2,4,linear_svm,0.81
Spanish → Spanish,Wav2Vec2,4,logistic_regression,0.79
Spanish → German,Wav2Vec2,4,linear_svm,0.5909090909090909
Spanish → German,Wav2Vec2,4,logistic_regression,0.6647727272727273
German → German,Wav2Vec2,4,linear_svm,0.7159090909090909
German → German,Wav2Vec2,4,logistic_regression,0.7784090909090908
German → Spanish,Wav2Vec2,4,linear_svm,0.52
German → Spanish,Wav2Vec2,4,logistic_regression,0.5599999999999999
German → Spanish,Wav2Vec2,4,linear_svm,0.7427536231884058
German → Spanish,Wav2Vec2,4,logistic_regression,0.7753623188405797
Spanish → Spanish,Wav2Vec2,8,linear_svm,0.76
Spanish → Spanish,Wav2Vec2,8,logistic_regression,0.79
Spanish → German,Wav2Vec2,8,linear_svm,0.5568181818181818
Spanish → German,Wav2Vec2,8,logistic_regression,0.5738636363636364
German → German,Wav2Vec2,8,linear_svm,0.6931818181818181
German → German,Wav2Vec2,8,logistic_regression,0.7613636363636364
German → Spanish,Wav2Vec2,8,linear_svm,0.54
German → Spanish,Wav2Vec2,8,logistic_regression,0.63
German → Spanish,Wav2Vec2,8,linear_svm,0.7536231884057971
German → Spanish,Wav2Vec2,8,logistic_regression,0.8079710144927537
Spanish → Spanish,WavLM,0,linear_svm,0.77
Spanish → Spanish,WavLM,0,logistic_regression,0.73
Spanish → German,WavLM,0,linear_svm,0.6420454545454546
Spanish → German,WavLM,0,logistic_regression,0.6477272727272727
German → German,WavLM,0,linear_svm,0.7045454545454546
German → German,WavLM,0,logistic_regression,0.7272727272727273
German → Spanish,WavLM,0,linear_svm,0.68
German → Spanish,WavLM,0,logistic_regression,0.69
German → Spanish,WavLM,0,linear_svm,0.75
German → Spanish,WavLM,0,logistic_regression,0.7536231884057971
Spanish → Spanish,WavLM,11,linear_svm,0.74
Spanish → Spanish,WavLM,11,logistic_regression,0.78
Spanish → German,WavLM,11,linear_svm,0.6590909090909091
Spanish → German,WavLM,11,logistic_regression,0.7272727272727273
German → German,WavLM,11,linear_svm,0.7329545454545454
German → German,WavLM,11,logistic_regression,0.7954545454545454
German → Spanish,WavLM,11,linear_svm,0.57
German → Spanish,WavLM,11,logistic_regression,0.67
German → Spanish,WavLM,11,linear_svm,0.7572463768115942
German → Spanish,WavLM,11,logistic_regression,0.7753623188405797
Spanish → Spanish,WavLM,4,linear_svm,0.78
Spanish → Spanish,WavLM,4,logistic_regression,0.8
Spanish → German,WavLM,4,linear_svm,0.5170454545454546
Spanish → German,WavLM,4,logistic_regression,0.5625
German → German,WavLM,4,linear_svm,0.7556818181818181
German → German,WavLM,4,logistic_regression,0.75
German → Spanish,WavLM,4,linear_svm,0.6799999999999999
German → Spanish,WavLM,4,logistic_regression,0.66
German → Spanish,WavLM,4,linear_svm,0.7826086956521738
German → Spanish,WavLM,4,logistic_regression,0.786231884057971
Spanish → Spanish,WavLM,8,linear_svm,0.75
Spanish → Spanish,WavLM,8,logistic_regression,0.78
Spanish → German,WavLM,8,linear_svm,0.625
Spanish → German,WavLM,8,logistic_regression,0.6534090909090908
German → German,WavLM,8,linear_svm,0.7386363636363636
German → German,WavLM,8,logistic_regression,0.8181818181818181
German → Spanish,WavLM,8,linear_svm,0.55
German → Spanish,WavLM,8,logistic_regression,0.63
German → Spanish,WavLM,8,linear_svm,0.7753623188405797
German → Spanish,WavLM,8,logistic_regression,0.7971014492753623
Spanish → Spanish,XLSR,0,linear_svm,0.78
Spanish → Spanish,XLSR,0,logistic_regression,0.78
Spanish → German,XLSR,0,linear_svm,0.5568181818181819
Spanish → German,XLSR,0,logistic_regression,0.5852272727272727
German → German,XLSR,0,linear_svm,0.7443181818181819
German → German,XLSR,0,logistic_regression,0.75
German → Spanish,XLSR,0,linear_svm,0.6
German → Spanish,XLSR,0,logistic_regression,0.6000000000000001
German → Spanish,XLSR,0,linear_svm,0.75
German → Spanish,XLSR,0,logistic_regression,0.7572463768115942
Spanish → Spanish,XLSR,11,linear_svm,0.78
Spanish → Spanish,XLSR,11,logistic_regression,0.81
Spanish → German,XLSR,11,linear_svm,0.5909090909090909
Spanish → German,XLSR,11,logistic_regression,0.5738636363636364
German → German,XLSR,11,linear_svm,0.75
German → German,XLSR,11,logistic_regression,0.7670454545454546
German → Spanish,XLSR,11,linear_svm,0.6000000000000001
German → Spanish,XLSR,11,logistic_regression,0.66
German → Spanish,XLSR,11,linear_svm,0.7536231884057971
German → Spanish,XLSR,11,logistic_regression,0.7789855072463768
Spanish → Spanish,XLSR,4,linear_svm,0.84
Spanish → Spanish,XLSR,4,logistic_regression,0.8200000000000001
Spanish → German,XLSR,4,linear_svm,0.5511363636363636
Spanish → German,XLSR,4,logistic_regression,0.5340909090909091
German → German,XLSR,4,linear_svm,0.7159090909090909
German → German,XLSR,4,logistic_regression,0.7613636363636364
German → Spanish,XLSR,4,linear_svm,0.62
German → Spanish,XLSR,4,logistic_regression,0.61
German → Spanish,XLSR,4,linear_svm,0.7608695652173914
German → Spanish,XLSR,4,logistic_regression,0.7789855072463768
Spanish → Spanish,XLSR,8,linear_svm,0.79
Spanish → Spanish,XLSR,8,logistic_regression,0.8300000000000001
Spanish → German,XLSR,8,linear_svm,0.5965909090909091
Spanish → German,XLSR,8,logistic_regression,0.6477272727272727
German → German,XLSR,8,linear_svm,0.7272727272727273
German → German,XLSR,8,logistic_regression,0.7386363636363636
German → Spanish,XLSR,8,linear_svm,0.56
German → Spanish,XLSR,8,logistic_regression,0.6699999999999999
German → Spanish,XLSR,8,linear_svm,0.7681159420289855
German → Spanish,XLSR,8,logistic_regression,0.7826086956521738
