source_file,source_language,target_domain,condition_model,condition_layer,alpha,output_file,generation_status,method_used,notes
SP_PD_001.wav,Spanish,German-domain,xlsr,11,0.1,converted_audio_refinement\xlsr_layer11\alpha_0_10\spanish_to_german\SP_PD_001_to_Ge_domain_xlsr_layer11_alpha_0_10.wav,success,prototype embedding-conditioned conversion,"Ridge mapping embedding-to-mel shift, scale alpha=0.1"
SP_PD_002.wav,Spanish,German-domain,xlsr,11,0.1,converted_audio_refinement\xlsr_layer11\alpha_0_10\spanish_to_german\SP_PD_002_to_Ge_domain_xlsr_layer11_alpha_0_10.wav,success,prototype embedding-conditioned conversion,"Ridge mapping embedding-to-mel shift, scale alpha=0.1"
SP_PD_003.wav,Spanish,German-domain,xlsr,11,0.1,converted_audio_refinement\xlsr_layer11\alpha_0_10\spanish_to_german\SP_PD_003_to_Ge_domain_xlsr_layer11_alpha_0_10.wav,success,prototype embedding-conditioned conversion,"Ridge mapping embedding-to-mel shift, scale alpha=0.1"
SP_HC_001.wav,Spanish,German-domain,xlsr,11,0.1,converted_audio_refinement\xlsr_layer11\alpha_0_10\spanish_to_german\SP_HC_001_to_Ge_domain_xlsr_layer11_alpha_0_10.wav,success,prototype embedding-conditioned conversion,"Ridge mapping embedding-to-mel shift, scale alpha=0.1"
SP_HC_002.wav,Spanish,German-domain,xlsr,11,0.1,converted_audio_refinement\xlsr_layer11\alpha_0_10\spanish_to_german\SP_HC_002_to_Ge_domain_xlsr_layer11_alpha_0_10.wav,success,prototype embedding-conditioned conversion,"Ridge mapping embedding-to-mel shift, scale alpha=0.1"
SP_HC_003.wav,Spanish,German-domain,xlsr,11,0.1,converted_audio_refinement\xlsr_layer11\alpha_0_10\spanish_to_german\SP_HC_003_to_Ge_domain_xlsr_layer11_alpha_0_10.wav,success,prototype embedding-conditioned conversion,"Ridge mapping embedding-to-mel shift, scale alpha=0.1"
DE_PD_001.wav,German,Spanish-domain,xlsr,11,0.1,converted_audio_refinement\xlsr_layer11\alpha_0_10\german_to_spanish\DE_PD_001_to_Sp_domain_xlsr_layer11_alpha_0_10.wav,success,prototype embedding-conditioned conversion,"Ridge mapping embedding-to-mel shift, scale alpha=0.1"
DE_PD_002.wav,German,Spanish-domain,xlsr,11,0.1,converted_audio_refinement\xlsr_layer11\alpha_0_10\german_to_spanish\DE_PD_002_to_Sp_domain_xlsr_layer11_alpha_0_10.wav,success,prototype embedding-conditioned conversion,"Ridge mapping embedding-to-mel shift, scale alpha=0.1"
DE_PD_003.wav,German,Spanish-domain,xlsr,11,0.1,converted_audio_refinement\xlsr_layer11\alpha_0_10\german_to_spanish\DE_PD_003_to_Sp_domain_xlsr_layer11_alpha_0_10.wav,success,prototype embedding-conditioned conversion,"Ridge mapping embedding-to-mel shift, scale alpha=0.1"
DE_HC_001.wav,German,Spanish-domain,xlsr,11,0.1,converted_audio_refinement\xlsr_layer11\alpha_0_10\german_to_spanish\DE_HC_001_to_Sp_domain_xlsr_layer11_alpha_0_10.wav,success,prototype embedding-conditioned conversion,"Ridge mapping embedding-to-mel shift, scale alpha=0.1"
